"","Overall","Variable","Class","VariableLabel","VI","classvi"
"Dry_B5",64.5530713987107,"Dry_B5","Dry Landsat","Dry B5","SR","Dry Landsat SR"
"Dry_B1",60.158014762958,"Dry_B1","Dry Landsat","Dry B1","SR","Dry Landsat SR"
"Dry_B2",52.4999808934823,"Dry_B2","Dry Landsat","Dry B2","SR","Dry Landsat SR"
"Dry_B3",52.1358418055201,"Dry_B3","Dry Landsat","Dry B3","SR","Dry Landsat SR"
"HH",51.5977163825994,"HH","Radar","HH"," ","Radar  "
"Dry_NDVI",48.2139255572992,"Dry_NDVI","Dry Landsat","Dry NDVI","VI","Dry Landsat VI"
"Wet_B5",46.2988465970147,"Wet_B5","Wet Landsat","Wet B5","SR","Wet Landsat SR"
"Dry_B7",45.9025204888091,"Dry_B7","Dry Landsat","Dry B7","SR","Dry Landsat SR"
"HV",43.9077383430618,"HV","Radar","HV"," ","Radar  "
"Wet_B4",42.7025031177639,"Wet_B4","Wet Landsat","Wet B4","SR","Wet Landsat SR"
"Dry_B4",41.511550625487,"Dry_B4","Dry Landsat","Dry B4","SR","Dry Landsat SR"
"Wet_B7",39.8739629831485,"Wet_B7","Wet Landsat","Wet B7","SR","Wet Landsat SR"
"Dry_MSAVI",33.71519961708,"Dry_MSAVI","Dry Landsat","Dry MSAVI","VI","Dry Landsat VI"
"Wet_B1",29.359063642301,"Wet_B1","Wet Landsat","Wet B1","SR","Wet Landsat SR"
"Wet_NDVI",27.6338853363288,"Wet_NDVI","Wet Landsat","Wet NDVI","VI","Wet Landsat VI"
"Wet_MSAVI",25.9108509349051,"Wet_MSAVI","Wet Landsat","Wet MSAVI","VI","Wet Landsat VI"
"Wet_B2",23.1984614468004,"Wet_B2","Wet Landsat","Wet B2","SR","Wet Landsat SR"
"Wet_B3",19.4412785296675,"Wet_B3","Wet Landsat","Wet B3","SR","Wet Landsat SR"
