"","Variables","variable","value"
"1","1","RMSE",0.125407011072943
"2","2","RMSE",0.119652782063299
"3","3","RMSE",0.114692143199895
"4","4","RMSE",0.104450698790761
"5","5","RMSE",0.102012842720677
"6","6","RMSE",0.100968848367215
"7","7","RMSE",0.100757535026191
"8","8","RMSE",0.0990718038051123
"9","9","RMSE",0.0987986028167041
"10","10","RMSE",0.0982684115710794
"11","11","RMSE",0.0981726907189779
"12","12","RMSE",0.0981333088261887
"13","13","RMSE",0.0983485930088079
"14","14","RMSE",0.097235187734974
"15","15","RMSE",0.096921170024993
"16","16","RMSE",0.0967601539801945
"17","17","RMSE",0.0966050844500546
"18","18","RMSE",0.0963680017057629
"19","1","RMSE",0.121157596118762
"20","2","RMSE",0.113739556835845
"21","3","RMSE",0.105124028831561
"22","4","RMSE",0.103110601341826
"23","5","RMSE",0.10259021265234
"24","6","RMSE",0.102389434890704
"25","7","RMSE",0.0989902337784017
"26","8","RMSE",0.0987192092148819
"27","9","RMSE",0.0985515631285224
"28","10","RMSE",0.0970588547371676
"29","11","RMSE",0.0967162851599168
"30","12","RMSE",0.0969343382548412
"31","13","RMSE",0.0961158204168236
"32","14","RMSE",0.0957290657287688
"33","15","RMSE",0.0951954872147355
"34","16","RMSE",0.0952588586903916
"35","17","RMSE",0.0948292130869981
"36","18","RMSE",0.0948324812419034
"37","1","RMSE",0.120687453561827
"38","2","RMSE",0.111755032111341
"39","3","RMSE",0.108291148216915
"40","4","RMSE",0.106724416267276
"41","5","RMSE",0.102972754122675
"42","6","RMSE",0.0978215731414267
"43","7","RMSE",0.0963239661142379
"44","8","RMSE",0.0957915725652901
"45","9","RMSE",0.0953382074043793
"46","10","RMSE",0.0943180974904947
"47","11","RMSE",0.0940213726994269
"48","12","RMSE",0.0937507711550526
"49","13","RMSE",0.0940723946861612
"50","14","RMSE",0.0936227907283238
"51","15","RMSE",0.0933551235683431
"52","16","RMSE",0.0931555926157556
"53","17","RMSE",0.093077464956766
"54","18","RMSE",0.0930007255265502
"55","1","RMSE",0.12292682265582
"56","2","RMSE",0.115359916080364
"57","3","RMSE",0.112242705517805
"58","4","RMSE",0.107681122356275
"59","5","RMSE",0.105908453162549
"60","6","RMSE",0.0995595437615622
"61","7","RMSE",0.097696850190084
"62","8","RMSE",0.097608917659403
"63","9","RMSE",0.0970360296791732
"64","10","RMSE",0.097153781278029
"65","11","RMSE",0.0958438266645619
"66","12","RMSE",0.095387295406468
"67","13","RMSE",0.0956441246599576
"68","14","RMSE",0.0949647410416724
"69","15","RMSE",0.0945371247316069
"70","16","RMSE",0.0944782086490802
"71","17","RMSE",0.094170354816283
"72","18","RMSE",0.0941767804458927
"73","1","RMSE",0.119906535567998
"74","2","RMSE",0.113379987283134
"75","3","RMSE",0.108371722885104
"76","4","RMSE",0.103932089735837
"77","5","RMSE",0.101606804809615
"78","6","RMSE",0.0982477293519531
"79","7","RMSE",0.0940421644186235
"80","8","RMSE",0.0930365030570448
"81","9","RMSE",0.0934450422045361
"82","10","RMSE",0.0929503940451472
"83","11","RMSE",0.093017177690199
"84","12","RMSE",0.0934894909844072
"85","13","RMSE",0.0923472739488899
"86","14","RMSE",0.0916165995052547
"87","15","RMSE",0.0914807541320496
"88","16","RMSE",0.0910905906437167
"89","17","RMSE",0.0910492165029076
"90","18","RMSE",0.0910704428241914
"91","1","RMSE",0.126924676098856
"92","2","RMSE",0.113932827832929
"93","3","RMSE",0.110580041612289
"94","4","RMSE",0.106523849972822
"95","5","RMSE",0.101439032936281
"96","6","RMSE",0.100299210320561
"97","7","RMSE",0.0967964838315313
"98","8","RMSE",0.0963745487324197
"99","9","RMSE",0.095028727499055
"100","10","RMSE",0.0949188739433072
"101","11","RMSE",0.0948087008285473
"102","12","RMSE",0.0944490173724206
"103","13","RMSE",0.0947884652932034
"104","14","RMSE",0.0943645625278377
"105","15","RMSE",0.0942456122549433
"106","16","RMSE",0.093818077787709
"107","17","RMSE",0.0935354008110375
"108","18","RMSE",0.0934828034596113
"109","1","RMSE",0.121156071837216
"110","2","RMSE",0.115306990472241
"111","3","RMSE",0.112492275941123
"112","4","RMSE",0.106692557288715
"113","5","RMSE",0.104939508126808
"114","6","RMSE",0.105247367115842
"115","7","RMSE",0.0979777268467577
"116","8","RMSE",0.0974374881056281
"117","9","RMSE",0.0975560563236117
"118","10","RMSE",0.0964887139344365
"119","11","RMSE",0.0946537401993013
"120","12","RMSE",0.0943167908655289
"121","13","RMSE",0.0946263317768123
"122","14","RMSE",0.0935468580166807
"123","15","RMSE",0.0931608869195994
"124","16","RMSE",0.0933709388658939
"125","17","RMSE",0.0930768776060624
"126","18","RMSE",0.0930341036536713
"127","1","RMSE",0.124368630425659
"128","2","RMSE",0.115459192283543
"129","3","RMSE",0.11091275530577
"130","4","RMSE",0.105810028624047
"131","5","RMSE",0.103833276983685
"132","6","RMSE",0.0989673870981351
"133","7","RMSE",0.0969532568931043
"134","8","RMSE",0.0964547635059827
"135","9","RMSE",0.0961578449966147
"136","10","RMSE",0.0949558002409786
"137","11","RMSE",0.0948073916658646
"138","12","RMSE",0.0948039973295788
"139","13","RMSE",0.094412496002399
"140","14","RMSE",0.0947344672113632
"141","15","RMSE",0.0943398822300854
"142","16","RMSE",0.0943386108416876
"143","17","RMSE",0.0937753949382007
"144","18","RMSE",0.0936762591558976
"145","1","RMSE",0.121252724102314
"146","2","RMSE",0.115056155316098
"147","3","RMSE",0.109918350786327
"148","4","RMSE",0.105225281915427
"149","5","RMSE",0.103516585909665
"150","6","RMSE",0.100247630753094
"151","7","RMSE",0.0964075265535666
"152","8","RMSE",0.0952422576814353
"153","9","RMSE",0.094292110558527
"154","10","RMSE",0.0940951812755875
"155","11","RMSE",0.0938113962382348
"156","12","RMSE",0.0937142937435435
"157","13","RMSE",0.0937669390315242
"158","14","RMSE",0.0933922539493897
"159","15","RMSE",0.0930382720940283
"160","16","RMSE",0.0928352010295681
"161","17","RMSE",0.0925370151952582
"162","18","RMSE",0.0922273742986309
"163","1","RMSE",0.127859994914827
"164","2","RMSE",0.117628514618855
"165","3","RMSE",0.112683756219943
"166","4","RMSE",0.108599211236819
"167","5","RMSE",0.106388720155026
"168","6","RMSE",0.102871147821968
"169","7","RMSE",0.101181237953557
"170","8","RMSE",0.098070013029523
"171","9","RMSE",0.0967944913866906
"172","10","RMSE",0.0971450954143588
"173","11","RMSE",0.0969363722898162
"174","12","RMSE",0.0966690439378908
"175","13","RMSE",0.0967410432100171
"176","14","RMSE",0.0961504319792093
"177","15","RMSE",0.0954641099292135
"178","16","RMSE",0.095488164953071
"179","17","RMSE",0.095275777075269
"180","18","RMSE",0.0948542540163132
"181","1","Rsquared",0.381624313917714
"182","2","Rsquared",0.438262788518746
"183","3","Rsquared",0.481982421974789
"184","4","Rsquared",0.570474235840091
"185","5","Rsquared",0.590013524392697
"186","6","Rsquared",0.598456334577238
"187","7","Rsquared",0.600140380411033
"188","8","Rsquared",0.613348297489391
"189","9","Rsquared",0.615505060225782
"190","10","Rsquared",0.619651759141466
"191","11","Rsquared",0.620390667612966
"192","12","Rsquared",0.62069919344187
"193","13","Rsquared",0.619008419057298
"194","14","Rsquared",0.627659383122447
"195","15","Rsquared",0.630003228770425
"196","16","Rsquared",0.631237016666909
"197","17","Rsquared",0.632425964724824
"198","18","Rsquared",0.634241270408209
"199","1","Rsquared",0.420078084443426
"200","2","Rsquared",0.489093655203731
"201","3","Rsquared",0.562656230709786
"202","4","Rsquared",0.578951132012523
"203","5","Rsquared",0.58320038942305
"204","6","Rsquared",0.585185359611939
"205","7","Rsquared",0.612096032719936
"206","8","Rsquared",0.61423881188113
"207","9","Rsquared",0.615508902515432
"208","10","Rsquared",0.626935382217156
"209","11","Rsquared",0.629540959610521
"210","12","Rsquared",0.62790981929019
"211","13","Rsquared",0.634167135112341
"212","14","Rsquared",0.637074307498779
"213","15","Rsquared",0.641107123518641
"214","16","Rsquared",0.640622940724548
"215","17","Rsquared",0.643858616943258
"216","18","Rsquared",0.643842806190213
"217","1","Rsquared",0.3948215758768
"218","2","Rsquared",0.479525688961289
"219","3","Rsquared",0.509882033903314
"220","4","Rsquared",0.523752451274461
"221","5","Rsquared",0.556584697660484
"222","6","Rsquared",0.600655720561947
"223","7","Rsquared",0.612235832130423
"224","8","Rsquared",0.616321025266947
"225","9","Rsquared",0.620024918060513
"226","10","Rsquared",0.628030855171431
"227","11","Rsquared",0.630345450319494
"228","12","Rsquared",0.632483855615034
"229","13","Rsquared",0.629997307684913
"230","14","Rsquared",0.633511208503501
"231","15","Rsquared",0.635634161890866
"232","16","Rsquared",0.637141387589759
"233","17","Rsquared",0.637748894748504
"234","18","Rsquared",0.638349667146501
"235","1","Rsquared",0.413804077388345
"236","2","Rsquared",0.483502799115536
"237","3","Rsquared",0.510841498225646
"238","4","Rsquared",0.550127901261312
"239","5","Rsquared",0.565078618275585
"240","6","Rsquared",0.61502982026184
"241","7","Rsquared",0.629369503838028
"242","8","Rsquared",0.630152079706129
"243","9","Rsquared",0.634456471976015
"244","10","Rsquared",0.633566742727538
"245","11","Rsquared",0.643504560661506
"246","12","Rsquared",0.646941125118307
"247","13","Rsquared",0.645000211009785
"248","14","Rsquared",0.650083270273548
"249","15","Rsquared",0.653236533448511
"250","16","Rsquared",0.65366791122317
"251","17","Rsquared",0.655997028824054
"252","18","Rsquared",0.655916172307514
"253","1","Rsquared",0.426822854846307
"254","2","Rsquared",0.487637942035071
"255","3","Rsquared",0.53158815071812
"256","4","Rsquared",0.569677997629213
"257","5","Rsquared",0.58906768702459
"258","6","Rsquared",0.615083670676526
"259","7","Rsquared",0.647317941206484
"260","8","Rsquared",0.655020775968864
"261","9","Rsquared",0.65200075614344
"262","10","Rsquared",0.655713570754812
"263","11","Rsquared",0.65518400998551
"264","12","Rsquared",0.651576183225618
"265","13","Rsquared",0.660174935266486
"266","14","Rsquared",0.665662869920777
"267","15","Rsquared",0.666666181852008
"268","16","Rsquared",0.66962516621407
"269","17","Rsquared",0.669909422757951
"270","18","Rsquared",0.6697375963404
"271","1","Rsquared",0.367084853410776
"272","2","Rsquared",0.490587324701903
"273","3","Rsquared",0.519507643355459
"274","4","Rsquared",0.554217640067477
"275","5","Rsquared",0.596367835499234
"276","6","Rsquared",0.60484997698271
"277","7","Rsquared",0.631964931371146
"278","8","Rsquared",0.635142615781737
"279","9","Rsquared",0.645279777057515
"280","10","Rsquared",0.64616831953787
"281","11","Rsquared",0.647026529098694
"282","12","Rsquared",0.649699891957076
"283","13","Rsquared",0.647111855576089
"284","14","Rsquared",0.650234018467777
"285","15","Rsquared",0.651098887984
"286","16","Rsquared",0.654314388056901
"287","17","Rsquared",0.65640617091674
"288","18","Rsquared",0.656780860647288
"289","1","Rsquared",0.416243004725849
"290","2","Rsquared",0.471468197172714
"291","3","Rsquared",0.496619630734144
"292","4","Rsquared",0.547450845214901
"293","5","Rsquared",0.562625785843677
"294","6","Rsquared",0.559738844043645
"295","7","Rsquared",0.618583382588629
"296","8","Rsquared",0.622931557401736
"297","9","Rsquared",0.621550465953389
"298","10","Rsquared",0.62989438704743
"299","11","Rsquared",0.644115887071832
"300","12","Rsquared",0.646596339025634
"301","13","Rsquared",0.644227782731372
"302","14","Rsquared",0.652442308401162
"303","15","Rsquared",0.655228379430645
"304","16","Rsquared",0.653626692275697
"305","17","Rsquared",0.655879887746294
"306","18","Rsquared",0.656156693508203
"307","1","Rsquared",0.39517611687344
"308","2","Rsquared",0.478167489599366
"309","3","Rsquared",0.517867385650232
"310","4","Rsquared",0.561663565831569
"311","5","Rsquared",0.578533510801037
"312","6","Rsquared",0.616288589744382
"313","7","Rsquared",0.631797592003456
"314","8","Rsquared",0.635664586986576
"315","9","Rsquared",0.637779943078161
"316","10","Rsquared",0.646932652061766
"317","11","Rsquared",0.648154850366734
"318","12","Rsquared",0.648073754862454
"319","13","Rsquared",0.651028799054735
"320","14","Rsquared",0.648540679167614
"321","15","Rsquared",0.651483098725722
"322","16","Rsquared",0.65151217907777
"323","17","Rsquared",0.655714924354941
"324","18","Rsquared",0.656425682932696
"325","1","Rsquared",0.416900976912118
"326","2","Rsquared",0.475046711700995
"327","3","Rsquared",0.520810282907884
"328","4","Rsquared",0.561118052281512
"329","5","Rsquared",0.575801635439915
"330","6","Rsquared",0.601394966135041
"331","7","Rsquared",0.631276280289423
"332","8","Rsquared",0.640282418478231
"333","9","Rsquared",0.647436861944909
"334","10","Rsquared",0.649118153964463
"335","11","Rsquared",0.65133302035582
"336","12","Rsquared",0.651940147738509
"337","13","Rsquared",0.651452620530749
"338","14","Rsquared",0.654250690865545
"339","15","Rsquared",0.656928800699165
"340","16","Rsquared",0.658471543767077
"341","17","Rsquared",0.660697792949038
"342","18","Rsquared",0.662981482745347
"343","1","Rsquared",0.373412350331557
"344","2","Rsquared",0.470517823347633
"345","3","Rsquared",0.513124425869489
"346","4","Rsquared",0.547891009121908
"347","5","Rsquared",0.56639281828655
"348","6","Rsquared",0.594175223786832
"349","7","Rsquared",0.607442934770326
"350","8","Rsquared",0.631330021810528
"351","9","Rsquared",0.640800031141645
"352","10","Rsquared",0.638199872951314
"353","11","Rsquared",0.639808889170477
"354","12","Rsquared",0.641766695981141
"355","13","Rsquared",0.641214393019821
"356","14","Rsquared",0.645670269351389
"357","15","Rsquared",0.650805864473818
"358","16","Rsquared",0.65069482140114
"359","17","Rsquared",0.652272152332058
"360","18","Rsquared",0.655450838860252
